id,title,difficulty,acceptance_rate,likes,related_topics,time_taken,difficulty_label,Cluster_label
734,Sentence Similarity,Easy,42.4,214,Hash Table,15,0,14
735,Asteroid Collision,Medium,43.3,1883,Stack,30,2,2
736,Parse Lisp Expression,Hard,49.7,323,String,50,1,9
737,Sentence Similarity II,Medium,46.7,587,"Depth-first Search,Union Find",30,2,3
738,Monotone Increasing Digits,Medium,45.7,609,Greedy,30,2,3
739,Daily Temperatures,Medium,64.8,4052,"Hash Table,Stack",30,2,23
740,Delete and Earn,Medium,49.9,1448,Dynamic Programming,30,2,5
741,Cherry Pickup,Hard,35.2,1562,Dynamic Programming,50,1,15
742,Closest Leaf in a Binary Tree,Medium,44.6,585,Tree,30,2,3
743,Network Delay Time,Medium,45.7,2462,"Heap,Depth-first Search,Breadth-first Search,Graph",30,2,2
744,Find Smallest Letter Greater Than Target,Easy,45.6,607,Binary Search,15,0,14
745,Prefix and Suffix Search,Hard,35.5,461,Trie,50,1,11
746,Min Cost Climbing Stairs,Easy,51.0,3027,"Array,Dynamic Programming",15,0,16
747,Largest Number At Least Twice of Others,Easy,43.2,430,Array,15,0,14
748,Shortest Completing Word,Easy,57.6,233,Hash Table,15,0,17
749,Contain Virus,Hard,48.3,138,Depth-first Search,50,1,9
750,Number Of Corner Rectangles,Medium,67.2,516,Dynamic Programming,30,2,24
751,IP to CIDR,Medium,59.3,104,Bit Manipulation,30,2,24
752,Open the Lock,Medium,53.0,1534,Breadth-first Search,30,2,5
753,Cracking the Safe,Hard,52.5,548,"Math,Depth-first Search",50,1,9
754,Reach a Number,Medium,40.5,707,Math,30,2,4
755,Pour Water,Medium,44.3,218,Array,30,2,3
756,Pyramid Transition Matrix,Medium,55.7,359,"Bit Manipulation,Depth-first Search",30,2,24
757,Set Intersection Size At Least Two,Hard,42.5,356,Greedy,50,1,9
758,Bold Words in String,Easy,47.5,176,String,15,0,14
759,Employee Free Time,Hard,68.5,815,"Heap,Greedy",50,1,6
760,Find Anagram Mappings,Easy,81.9,405,Hash Table,15,0,12
761,Special Binary String,Hard,58.7,401,"String,Recursion",50,1,6
762,Prime Number of Set Bits in Binary Representation,Easy,64.6,314,Bit Manipulation,15,0,17
763,Partition Labels,Medium,78.1,4384,"Two Pointers,Greedy",30,2,19
764,Largest Plus Sign,Medium,46.6,572,Dynamic Programming,30,2,3
765,Couples Holding Hands,Hard,55.6,1026,"Greedy,Union Find,Graph",50,1,9
766,Toeplitz Matrix,Easy,65.9,1347,Array,15,0,0
767,Reorganize String,Medium,50.3,2740,"String,Heap,Greedy,Sort",30,2,23
768,Max Chunks To Make Sorted II,Hard,49.8,562,Array,50,1,9
769,Max Chunks To Make Sorted,Medium,55.9,1018,Array,30,2,5
770,Basic Calculator IV,Hard,54.4,91,"Hash Table,String,Stack",50,1,6
771,Jewels and Stones,Easy,87.0,2588,Hash Table,15,0,0
772,Basic Calculator III,Hard,44.0,584,"String,Stack",50,1,9
773,Sliding Puzzle,Hard,61.2,941,Breadth-first Search,50,1,6
774,Minimize Max Distance to Gas Station,Hard,48.6,426,Binary Search,50,1,9
775,Global and Local Inversions,Medium,46.3,747,"Array,Math",30,2,5
776,Split BST,Medium,56.7,734,"Tree,Recursion",30,2,5
777,Swap Adjacent in LR String,Medium,35.7,520,Brainteaser,30,2,4
778,Swim in Rising Water,Hard,54.9,868,"Binary Search,Heap,Depth-first Search,Union Find",50,1,9
779,K-th Symbol in Grammar,Medium,38.8,826,Recursion,30,2,4
780,Reaching Points,Hard,30.4,713,Math,50,1,11
781,Rabbits in Forest,Medium,55.8,386,"Hash Table,Math",30,2,24
782,Transform to Chessboard,Hard,47.0,149,"Array,Math",50,1,9
783,Minimum Distance Between BST Nodes,Easy,54.2,990,"Tree,Depth-first Search,Recursion",15,0,21
784,Letter Case Permutation,Medium,68.7,2002,"Backtracking,Bit Manipulation",30,2,13
785,Is Graph Bipartite?,Medium,48.7,2493,"Depth-first Search,Breadth-first Search,Graph",30,2,13
786,K-th Smallest Prime Fraction,Hard,43.3,507,"Binary Search,Heap",50,1,9
787,Cheapest Flights Within K Stops,Medium,39.7,2926,"Dynamic Programming,Heap,Breadth-first Search",30,2,23
788,Rotated Digits,Easy,57.5,418,String,15,0,17
789,Escape The Ghosts,Medium,58.6,224,Math,30,2,24
790,Domino and Tromino Tiling,Medium,40.2,528,Dynamic Programming,30,2,4
791,Custom Sort String,Medium,65.9,1003,String,30,2,22
792,Number of Matching Subsequences,Medium,48.3,1345,Array,30,2,5
793,Preimage Size of Factorial Zeroes Function,Hard,40.6,217,Binary Search,50,1,11
794,Valid Tic-Tac-Toe State,Medium,34.0,259,"Math,Recursion",30,2,4
795,Number of Subarrays with Bounded Maximum,Medium,47.9,759,Array,30,2,5
796,Rotate String,Easy,49.1,1059,,15,0,21
797,All Paths From Source to Target,Medium,78.6,1798,"Backtracking,Depth-first Search,Graph",30,2,22
798,Smallest Rotation with Highest Score,Hard,45.0,262,,50,1,9
799,Champagne Tower,Medium,44.1,780,Dynamic Programming,30,2,5
800,Similar RGB Color,Easy,62.5,66,"Math,String",15,0,17
801,Minimum Swaps To Make Sequences Increasing,Medium,39.0,1478,Dynamic Programming,30,2,2
802,Find Eventual Safe States,Medium,50.0,1106,"Depth-first Search,Graph",30,2,5
803,Bricks Falling When Hit,Hard,31.8,534,Union Find,50,1,11
804,Unique Morse Code Words,Easy,79.0,905,,15,0,0
805,Split Array With Same Average,Hard,26.9,506,Math,50,1,11
806,Number of Lines To Write String,Easy,65.5,285,,15,0,17
807,Max Increase to Keep City Skyline,Medium,84.4,1116,,30,2,22
808,Soup Servings,Medium,41.1,196,Dynamic Programming,30,2,3
809,Expressive Words,Medium,46.4,463,String,30,2,3
810,Chalkboard XOR Game,Hard,50.2,80,Math,50,1,9
811,Subdomain Visit Count,Easy,71.7,680,Hash Table,15,0,7
812,Largest Triangle Area,Easy,59.1,238,Math,15,0,17
813,Largest Sum of Averages,Medium,51.2,1183,Dynamic Programming,30,2,5
814,Binary Tree Pruning,Medium,72.1,1397,Tree,30,2,22
815,Bus Routes,Hard,43.6,1072,Breadth-first Search,50,1,9
816,Ambiguous Coordinates,Medium,48.2,135,String,30,2,3
817,Linked List Components,Medium,57.8,493,Linked List,30,2,24
818,Race Car,Hard,40.3,632,"Dynamic Programming,Heap",50,1,9
819,Most Common Word,Easy,45.5,948,String,15,0,1
820,Short Encoding of Words,Medium,55.0,595,,30,2,24
821,Shortest Distance to a Character,Easy,70.1,1586,,15,0,0
822,Card Flipping Game,Medium,43.8,86,,30,2,3
823,Binary Trees With Factors,Medium,43.7,677,,30,2,3
824,Goat Latin,Easy,66.9,503,String,15,0,17
825,Friends Of Appropriate Ages,Medium,44.3,396,Array,30,2,3
826,Most Profit Assigning Work,Medium,39.3,500,Two Pointers,30,2,4
827,Making A Large Island,Hard,47.3,712,"Depth-first Search,Breadth-first Search",50,1,9
828,Count Unique Characters of All Substrings of a Given String,Hard,46.9,608,Two Pointers,50,1,9
829,Consecutive Numbers Sum,Hard,39.3,598,Math,50,1,11
830,Positions of Large Groups,Easy,50.5,468,Array,15,0,14
831,Masking Personal Information,Medium,44.8,92,String,30,2,3
832,Flipping an Image,Easy,78.3,1310,Array,15,0,0
833,Find And Replace in String,Medium,51.5,452,String,30,2,3
834,Sum of Distances in Tree,Hard,46.5,1218,"Tree,Depth-first Search",50,1,15
835,Image Overlap,Medium,61.7,576,Array,30,2,24
836,Rectangle Overlap,Easy,43.7,988,Math,15,0,1
837,New 21 Game,Medium,35.4,685,Dynamic Programming,30,2,4
838,Push Dominoes,Medium,50.0,834,"Two Pointers,Dynamic Programming",30,2,5
839,Similar String Groups,Hard,41.6,514,"Depth-first Search,Union Find,Graph",50,1,9
840,Magic Squares In Grid,Medium,37.9,190,Array,30,2,4
841,Keys and Rooms,Medium,66.4,1776,"Depth-first Search,Graph",30,2,13
842,Split Array into Fibonacci Sequence,Medium,37.0,615,"String,Backtracking,Greedy",30,2,4
843,Guess the Word,Hard,46.4,778,Minimax,50,1,9
844,Backspace String Compare,Easy,47.2,2383,"Two Pointers,Stack",15,0,16
845,Longest Mountain in Array,Medium,38.7,1122,Two Pointers,30,2,5
846,Hand of Straights,Medium,55.5,942,Ordered Map,30,2,5
847,Shortest Path Visiting All Nodes,Hard,54.1,787,"Dynamic Programming,Breadth-first Search",50,1,9
848,Shifting Letters,Medium,45.2,370,,30,2,3
849,Maximize Distance to Closest Person,Medium,44.5,1278,Array,30,2,5
850,Rectangle Area II,Hard,48.4,449,"Segment Tree,Line Sweep",50,1,9
851,Loud and Rich,Medium,52.9,318,Depth-first Search,30,2,3
852,Peak Index in a Mountain Array,Easy,71.8,1027,Binary Search,15,0,0
853,Car Fleet,Medium,44.3,658,Sort,30,2,3
854,K-Similar Strings,Hard,38.8,567,"Breadth-first Search,Graph",50,1,11
855,Exam Room,Medium,43.5,715,Ordered Map,30,2,3
856,Score of Parentheses,Medium,64.9,2088,"String,Stack",30,2,13
857,Minimum Cost to Hire K Workers,Hard,50.5,1142,Heap,50,1,9
858,Mirror Reflection,Medium,59.7,327,Math,30,2,24
859,Buddy Strings,Easy,29.1,928,String,15,0,1
860,Lemonade Change,Easy,51.9,811,Greedy,15,0,21
861,Score After Flipping Matrix,Medium,73.8,660,Greedy,30,2,22
862,Shortest Subarray with Sum at Least K,Hard,25.3,1714,"Binary Search,Queue",50,1,15
863,All Nodes Distance K in Binary Tree,Medium,58.2,3408,"Tree,Depth-first Search,Breadth-first Search",30,2,23
864,Shortest Path to Get All Keys,Hard,42.4,543,"Heap,Breadth-first Search",50,1,9
865,Smallest Subtree with all the Deepest Nodes,Medium,65.0,1277,"Tree,Depth-first Search,Breadth-first Search,Recursion",30,2,22
866,Prime Palindrome,Medium,25.0,238,Math,30,2,4
867,Transpose Matrix,Easy,62.0,626,Array,15,0,17
868,Binary Gap,Easy,61.0,290,Math,15,0,17
869,Reordered Power of 2,Medium,61.2,422,,30,2,24
870,Advantage Shuffle,Medium,50.7,975,"Array,Greedy",30,2,5
871,Minimum Number of Refueling Stops,Hard,32.4,1143,"Dynamic Programming,Heap",50,1,15
872,Leaf-Similar Trees,Easy,64.5,1121,"Tree,Depth-first Search",15,0,21
873,Length of Longest Fibonacci Subsequence,Medium,48.2,961,"Array,Dynamic Programming",30,2,5
874,Walking Robot Simulation,Easy,36.7,236,Greedy,15,0,14
875,Koko Eating Bananas,Medium,53.5,1387,Binary Search,30,2,5
876,Middle of the Linked List,Easy,69.2,2236,Linked List,15,0,0
877,Stone Game,Medium,67.1,1062,"Math,Dynamic Programming,Minimax",30,2,22
878,Nth Magical Number,Hard,28.9,265,,50,1,11
879,Profitable Schemes,Hard,39.9,297,Dynamic Programming,50,1,11
880,Decoded String at Index,Medium,28.2,897,Stack,30,2,4
881,Boats to Save People,Medium,49.1,1252,"Two Pointers,Greedy",30,2,5
882,Reachable Nodes In Subdivided Graph,Hard,43.1,183,"Heap,Breadth-first Search",50,1,9
883,Projection Area of 3D Shapes,Easy,68.5,303,,15,0,7
884,Uncommon Words from Two Sentences,Easy,64.2,589,Hash Table,15,0,17
885,Spiral Matrix III,Medium,71.1,312,Math,30,2,18
886,Possible Bipartition,Medium,45.3,1368,"Depth-first Search,Graph",30,2,5
887,Super Egg Drop,Hard,27.0,1332,"Math,Binary Search,Dynamic Programming",50,1,15
888,Fair Candy Swap,Easy,59.1,735,Array,15,0,21
889,Construct Binary Tree from Preorder and Postorder Traversal,Medium,67.8,1172,Tree,30,2,22
890,Find and Replace Pattern,Medium,74.2,958,String,30,2,22
891,Sum of Subsequence Widths,Hard,33.1,319,"Array,Math",50,1,11
892,Surface Area of 3D Shapes,Easy,60.0,306,,15,0,17
893,Groups of Special-Equivalent Strings,Easy,69.6,328,String,15,0,7
894,All Possible Full Binary Trees,Medium,77.3,1356,"Tree,Recursion",30,2,22
895,Maximum Frequency Stack,Hard,63.2,1768,"Hash Table,Stack",50,1,15
896,Monotonic Array,Easy,57.9,957,Array,15,0,21
897,Increasing Order Search Tree,Easy,74.6,1330,"Tree,Depth-first Search,Recursion",15,0,0
898,Bitwise ORs of Subarrays,Medium,34.4,673,"Dynamic Programming,Bit Manipulation",30,2,4
899,Orderly Queue,Hard,53.4,251,"Math,String",50,1,9
900,RLE Iterator,Medium,55.6,325,Array,30,2,24
901,Online Stock Span,Medium,61.5,1397,Stack,30,2,22
902,Numbers At Most N Given Digit Set,Hard,36.1,492,"Math,Dynamic Programming",50,1,11
903,Valid Permutations for DI Sequence,Hard,54.2,351,,50,1,9
904,Fruit Into Baskets,Medium,43.0,1164,Two Pointers,30,2,5
905,Sort Array By Parity,Easy,75.0,1633,Array,15,0,0
906,Super Palindromes,Hard,32.7,98,Math,50,1,11
907,Sum of Subarray Minimums,Medium,33.1,1896,"Array,Stack",30,2,2
908,Smallest Range I,Easy,66.4,308,Math,15,0,17
909,Snakes and Ladders,Medium,39.3,572,Breadth-first Search,30,2,4
910,Smallest Range II,Medium,31.2,663,"Math,Greedy",30,2,4
911,Online Election,Medium,51.4,463,Binary Search,30,2,3
912,Sort an Array,Medium,64.6,788,,30,2,22
913,Cat and Mouse,Hard,34.8,439,"Breadth-first Search,Minimax",50,1,11
914,X of a Kind in a Deck of Cards,Easy,34.0,783,"Array,Math",15,0,1
915,Partition Array into Disjoint Intervals,Medium,46.4,466,Array,30,2,3
916,Word Subsets,Medium,52.8,705,String,30,2,5
917,Reverse Only Letters,Easy,59.4,801,String,15,0,21
918,Maximum Sum Circular Subarray,Medium,34.3,1568,Array,30,2,2
919,Complete Binary Tree Inserter,Medium,59.1,409,Tree,30,2,24
920,Number of Music Playlists,Hard,48.0,542,Dynamic Programming,50,1,9
921,Minimum Add to Make Parentheses Valid,Medium,74.9,1146,"Stack,Greedy",30,2,22
922,Sort Array By Parity II,Easy,70.7,978,"Array,Sort",15,0,0
923,3Sum With Multiplicity,Medium,40.9,681,Two Pointers,30,2,4
924,Minimize Malware Spread,Hard,41.9,411,"Depth-first Search,Union Find",50,1,9
925,Long Pressed Name,Easy,37.5,939,"Two Pointers,String",15,0,1
926,Flip String to Monotone Increasing,Medium,53.4,766,Array,30,2,5
927,Three Equal Parts,Hard,34.7,296,"Math,Binary Search,Greedy",50,1,11
928,Minimize Malware Spread II,Hard,41.5,278,"Depth-first Search,Union Find,Graph",50,1,9
929,Unique Email Addresses,Easy,67.2,1146,String,15,0,0
930,Binary Subarrays With Sum,Medium,44.8,772,"Hash Table,Two Pointers",30,2,5
931,Minimum Falling Path Sum,Medium,63.7,1146,Dynamic Programming,30,2,22
932,Beautiful Array,Medium,61.4,466,Divide and Conquer,30,2,24
933,Number of Recent Calls,Easy,72.4,561,Queue,15,0,7
934,Shortest Bridge,Medium,49.9,1283,"Depth-first Search,Breadth-first Search",30,2,5
935,Knight Dialer,Medium,46.7,817,Dynamic Programming,30,2,5
936,Stamping The Sequence,Hard,53.4,431,"String,Greedy",50,1,9
937,Reorder Data in Log Files,Easy,54.8,1056,String,15,0,21
938,Range Sum of BST,Easy,83.2,2230,"Tree,Depth-first Search,Recursion",15,0,0
939,Minimum Area Rectangle,Medium,52.2,932,Hash Table,30,2,5
940,Distinct Subsequences II,Hard,41.5,520,,50,1,9
941,Valid Mountain Array,Easy,33.0,889,,15,0,1
942,DI String Match,Easy,73.7,1129,Math,15,0,0
943,Find the Shortest Superstring,Hard,43.4,515,Dynamic Programming,50,1,9
944,Delete Columns to Make Sorted,Easy,70.9,221,Greedy,15,0,7
945,Minimum Increment to Make Array Unique,Medium,46.9,622,Array,30,2,3
946,Validate Stack Sequences,Medium,64.4,1654,Stack,30,2,13
947,Most Stones Removed with Same Row or Column,Medium,55.5,1411,"Depth-first Search,Union Find",30,2,5
948,Bag of Tokens,Medium,46.1,482,"Two Pointers,Greedy,Sort",30,2,3
949,Largest Time for Given Digits,Medium,36.2,441,Math,30,2,4
950,Reveal Cards In Increasing Order,Medium,75.5,1217,Array,30,2,22
951,Flip Equivalent Binary Trees,Medium,65.7,978,Tree,30,2,22
952,Largest Component Size by Common Factor,Hard,36.4,564,"Math,Union Find",50,1,11
953,Verifying an Alien Dictionary,Easy,51.8,1504,Hash Table,15,0,21
954,Array of Doubled Pairs,Medium,35.1,406,"Array,Hash Table",30,2,4
955,Delete Columns to Make Sorted II,Medium,33.9,331,Greedy,30,2,4
956,Tallest Billboard,Hard,39.9,441,,50,1,11
957,Prison Cells After N Days,Medium,40.1,971,Hash Table,30,2,5
958,Check Completeness of a Binary Tree,Medium,52.5,1200,Tree,30,2,5
959,Regions Cut By Slashes,Medium,67.4,1245,"Depth-first Search,Union Find,Graph",30,2,22
960,Delete Columns to Make Sorted III,Hard,55.1,301,Dynamic Programming,50,1,6
961,N-Repeated Element in Size 2N Array,Easy,74.6,622,Hash Table,15,0,7
962,Maximum Width Ramp,Medium,46.6,746,Array,30,2,5
963,Minimum Area Rectangle II,Medium,52.1,203,"Math,Geometry",30,2,3
964,Least Operators to Express Number,Hard,45.2,207,"Math,Dynamic Programming",50,1,9
965,Univalued Binary Tree,Easy,67.9,794,Tree,15,0,7
966,Vowel Spellchecker,Medium,51.9,294,"Hash Table,String",30,2,3
967,Numbers With Same Consecutive Differences,Medium,45.1,635,"Backtracking,Depth-first Search,Breadth-first Search,Recursion",30,2,3
968,Binary Tree Cameras,Hard,38.9,1244,"Dynamic Programming,Tree,Depth-first Search",50,1,15
969,Pancake Sorting,Medium,68.8,747,"Array,Sort",30,2,22
970,Powerful Integers,Medium,40.1,16,,30,2,3
971,Flip Binary Tree To Match Preorder Traversal,Medium,50.1,522,"Tree,Depth-first Search",30,2,3
972,Equal Rational Numbers,Hard,42.1,54,Math,50,1,9
973,K Closest Points to Origin,Medium,64.6,2901,"Divide and Conquer,Heap,Sort",30,2,13
974,Subarray Sums Divisible by K,Medium,51.0,1535,"Array,Hash Table",30,2,5
975,Odd Even Jump,Hard,41.5,916,"Dynamic Programming,Stack,Ordered Map",50,1,9
976,Largest Perimeter Triangle,Easy,59.3,509,"Math,Sort",15,0,17
977,Squares of a Sorted Array,Easy,71.8,2213,"Array,Two Pointers",15,0,0
978,Longest Turbulent Subarray,Medium,46.7,610,"Array,Dynamic Programming,Sliding Window",30,2,3
979,Distribute Coins in Binary Tree,Medium,69.9,2336,"Tree,Depth-first Search",30,2,13
980,Unique Paths III,Hard,77.0,1376,"Backtracking,Depth-first Search",50,1,6
981,Time Based Key-Value Store,Medium,54.2,1177,"Hash Table,Binary Search",30,2,5
982,Triples with Bitwise AND Equal To Zero,Hard,56.3,148,Dynamic Programming,50,1,6
983,Minimum Cost For Tickets,Medium,62.8,2676,Dynamic Programming,30,2,13
984,String Without AAA or BBB,Medium,38.8,288,Greedy,30,2,4
985,Sum of Even Numbers After Queries,Easy,60.6,501,Array,15,0,17
986,Interval List Intersections,Medium,68.5,2170,Two Pointers,30,2,13
987,Vertical Order Traversal of a Binary Tree,Hard,39.0,1406,"Hash Table,Tree,Depth-first Search,Breadth-first Search",50,1,15
988,Smallest String Starting From Leaf,Medium,46.9,593,"Tree,Depth-first Search",30,2,3
989,Add to Array-Form of Integer,Easy,45.0,581,Array,15,0,14
990,Satisfiability of Equality Equations,Medium,47.1,784,"Union Find,Graph",30,2,5
991,Broken Calculator,Medium,49.7,865,"Math,Greedy",30,2,5
992,Subarrays with K Different Integers,Hard,50.9,1663,"Hash Table,Two Pointers,Sliding Window",50,1,15
993,Cousins in Binary Tree,Easy,52.3,1425,"Tree,Breadth-first Search",15,0,21
994,Rotting Oranges,Medium,49.6,3211,Breadth-first Search,30,2,23
995,Minimum Number of K Consecutive Bit Flips,Hard,50.0,517,"Greedy,Sliding Window",50,1,9
996,Number of Squareful Arrays,Hard,48.6,465,"Math,Backtracking,Graph",50,1,9
997,Find the Town Judge,Easy,49.8,1490,Graph,15,0,21
998,Maximum Binary Tree II,Medium,64.1,246,Tree,30,2,24
999,Available Captures for Rook,Easy,67.8,312,Array,15,0,7
1000,Minimum Cost to Merge Stones,Hard,40.5,903,Dynamic Programming,50,1,9
1001,Grid Illumination,Hard,36.0,256,Hash Table,50,1,11
1002,Find Common Characters,Easy,68.7,1405,"Array,Hash Table",15,0,0
1003,Check If Word Is Valid After Substitutions,Medium,56.6,331,"String,Stack",30,2,24
1004,Max Consecutive Ones III,Medium,60.8,2020,"Two Pointers,Sliding Window",30,2,13
1005,Maximize Sum Of Array After K Negations,Easy,52.3,547,Greedy,15,0,17
1006,Clumsy Factorial,Medium,53.7,120,Math,30,2,24
1007,Minimum Domino Rotations For Equal Row,Medium,50.9,1229,"Array,Greedy",30,2,5
1008,Construct Binary Search Tree from Preorder Traversal,Medium,78.8,1798,Tree,30,2,22
1009,Complement of Base 10 Integer,Easy,61.4,437,Math,15,0,17
1010,Pairs of Songs With Total Durations Divisible by 60,Medium,50.6,1328,Array,30,2,5
1011,Capacity To Ship Packages Within D Days,Medium,59.9,1958,"Array,Binary Search",30,2,13
1012,Numbers With Repeated Digits,Hard,37.8,281,"Math,Dynamic Programming",50,1,11
1013,Partition Array Into Three Parts With Equal Sum,Easy,48.2,659,Array,15,0,14
1014,Best Sightseeing Pair,Medium,52.9,605,Array,30,2,3
1015,Smallest Integer Divisible by K,Medium,41.9,365,Math,30,2,3
1016,Binary String With Substrings Representing 1 To N,Medium,58.8,162,String,30,2,24
1017,Convert to Base -2,Medium,59.2,236,Math,30,2,24
1018,Binary Prefix Divisible By 5,Easy,47.8,363,,15,0,14
1019,Next Greater Node In Linked List,Medium,58.3,1289,"Linked List,Stack",30,2,5
1020,Number of Enclaves,Medium,59.2,488,Depth-first Search,30,2,24
1021,Remove Outermost Parentheses,Easy,79.2,777,Stack,15,0,7
1022,Sum of Root To Leaf Binary Numbers,Easy,71.6,1131,Tree,15,0,0
1023,Camelcase Matching,Medium,57.6,335,"String,Trie",30,2,24
1024,Video Stitching,Medium,49.0,706,Dynamic Programming,30,2,5
1025,Divisor Game,Easy,66.1,742,"Math,Dynamic Programming",15,0,17
1026,Maximum Difference Between Node and Ancestor,Medium,69.7,1192,"Tree,Depth-first Search",30,2,22
1027,Longest Arithmetic Subsequence,Medium,49.7,1226,Dynamic Programming,30,2,5
1028,Recover a Tree From Preorder Traversal,Hard,71.0,633,"Tree,Depth-first Search",50,1,6
1029,Two City Scheduling,Medium,58.2,1823,Greedy,30,2,13
1030,Matrix Cells in Distance Order,Easy,68.2,289,Sort,15,0,7
1031,Maximum Sum of Two Non-Overlapping Subarrays,Medium,59.0,1002,Array,30,2,5
1032,Stream of Characters,Hard,48.6,782,Trie,50,1,9
1033,Moving Stones Until Consecutive,Easy,43.3,102,Brainteaser,15,0,14
1034,Coloring A Border,Medium,45.8,188,Depth-first Search,30,2,3
1035,Uncrossed Lines,Medium,56.2,1110,Array,30,2,5
1036,Escape a Large Maze,Hard,34.3,291,Breadth-first Search,50,1,11
1037,Valid Boomerang,Easy,37.7,152,Math,15,0,14
1038,Binary Search Tree to Greater Sum Tree,Medium,82.5,1411,"Tree,Depth-first Search,Binary Search Tree,Recursion",30,2,22
1039,Minimum Score Triangulation of Polygon,Medium,50.3,639,Dynamic Programming,30,2,3
1040,Moving Stones Until Consecutive II,Medium,54.2,227,"Array,Sliding Window",30,2,24
1041,Robot Bounded In Circle,Medium,55.1,1027,Math,30,2,5
1042,Flower Planting With No Adjacent,Medium,48.8,536,Graph,30,2,3
1043,Partition Array for Maximum Sum,Medium,67.4,1150,Dynamic Programming,30,2,22
1044,Longest Duplicate Substring,Hard,31.4,802,"Hash Table,Binary Search,Suffix Array",50,1,11
1045,Customers Who Bought All Products,Medium,68.4,113,,30,2,24
1046,Last Stone Weight,Easy,62.4,1292,"Heap,Greedy",15,0,21
1047,Remove All Adjacent Duplicates In String,Easy,71.2,1466,Stack,15,0,0
1048,Longest String Chain,Medium,55.6,1572,"Hash Table,Dynamic Programming",30,2,5
1049,Last Stone Weight II,Medium,45.9,1168,Dynamic Programming,30,2,5
1050,Actors and Directors Who Cooperated At Least Three Times,Easy,72.5,76,,15,0,7
1051,Height Checker,Easy,72.1,6,Array,15,0,7
1052,Grumpy Bookstore Owner,Medium,55.9,716,"Array,Sliding Window",30,2,5
1053,Previous Permutation With One Swap,Medium,51.2,256,"Array,Greedy",30,2,3
1054,Distant Barcodes,Medium,44.3,560,"Heap,Sort",30,2,3
1055,Shortest Way to Form String,Medium,57.3,602,"Dynamic Programming,Greedy",30,2,24
1056,Confusing Number,Easy,47.0,109,Math,15,0,14
1057,Campus Bikes,Medium,57.9,673,"Greedy,Sort",30,2,24
1058,Minimize Rounding Error to Meet Target,Medium,43.7,103,"Math,Dynamic Programming,Greedy",30,2,3
1059,All Paths from Source Lead to Destination,Medium,43.0,235,"Depth-first Search,Graph",30,2,3
1060,Missing Element in Sorted Array,Medium,54.8,901,Binary Search,30,2,5
1061,Lexicographically Smallest Equivalent String,Medium,66.9,137,,30,2,24
1062,Longest Repeating Substring,Medium,58.4,378,String,30,2,24
1063,Number of Valid Subarrays,Hard,72.1,126,Stack,50,1,6
1064,Fixed Point,Easy,64.8,193,"Array,Binary Search",15,0,17
1065,Index Pairs of a String,Easy,61.0,142,"String,Trie",15,0,17
1066,Campus Bikes II,Medium,54.2,522,"Dynamic Programming,Backtracking",30,2,24
1067,Digit Count in Range,Hard,41.6,48,"Math,Dynamic Programming",50,1,11
1068,Product Sales Analysis I,Easy,82.0,59,,15,0,12
1069,Product Sales Analysis II,Easy,83.1,34,,15,0,12
1070,Product Sales Analysis III,Medium,50.0,49,,30,2,3
1071,Greatest Common Divisor of Strings,Easy,51.8,770,String,15,0,21
1072,Flip Columns For Maximum Number of Equal Rows,Medium,61.7,353,,30,2,24
1073,Adding Two Negabinary Numbers,Medium,34.7,153,Math,30,2,4
1074,Number of Submatrices That Sum to Target,Hard,62.0,820,"Array,Dynamic Programming,Sliding Window",50,1,6
1075,Project Employees I,Easy,66.2,42,,15,0,17
1076,Project Employees II,Easy,52.8,84,,15,0,17
1077,Project Employees III,Medium,78.1,113,,30,2,18
1078,Occurrences After Bigram,Easy,65.0,218,Hash Table,15,0,17
1079,Letter Tile Possibilities,Medium,75.9,992,Backtracking,30,2,22
1080,Insufficient Nodes in Root to Leaf Paths,Medium,50.1,251,Depth-first Search,30,2,3
1081,Smallest Subsequence of Distinct Characters,Medium,53.6,866,"String,Stack,Greedy",30,2,5
1082,Sales Analysis I,Easy,74.0,103,,15,0,7
1083,Sales Analysis II,Easy,50.8,114,,15,0,14
1084,Sales Analysis III,Easy,54.7,109,,15,0,17
1085,Sum of Digits in the Minimum Number,Easy,75.1,58,Array,15,0,7
1086,High Five,Easy,77.3,432,"Array,Hash Table,Sort",15,0,7
1087,Brace Expansion,Medium,63.3,325,Backtracking,30,2,24
1088,Confusing Number II,Hard,45.6,252,"Math,Backtracking",50,1,9
1089,Duplicate Zeros,Easy,51.6,904,Array,15,0,21
1090,Largest Values From Labels,Medium,60.1,178,"Hash Table,Greedy",30,2,24
1091,Shortest Path in Binary Matrix,Medium,40.2,1144,Breadth-first Search,30,2,5
1092,Shortest Common Supersequence,Hard,53.2,941,Dynamic Programming,50,1,9
1093,Statistics from a Large Sample,Medium,48.8,5,"Math,Two Pointers",30,2,3
1094,Car Pooling,Medium,59.6,1179,Greedy,30,2,5
1095,Find in Mountain Array,Hard,36.1,491,Binary Search,50,1,11
1096,Brace Expansion II,Hard,62.6,258,String,50,1,6
1097,Game Play Analysis V,Hard,56.8,71,,50,1,6
1098,Unpopular Books,Medium,45.6,89,,30,2,3
1099,Two Sum Less Than K,Easy,60.8,510,"Array,Two Pointers,Sort",15,0,17
1100,Find K-Length Substrings With No Repeated Characters,Medium,73.1,253,"String,Sliding Window",30,2,18
